Name,Disc. Date,R.A.,Dec.,Total Epochs,Epochs Pre-SN,Epochs Post-SN,First Epoch,Last Epoch
PSc310552,2011-09-24,23h33m38.098s,-0d18m02.57s,119,119,0,750114429.495,940454485.995
PSc310555,2011-09-17,23h34m07.866s,-0d23m28.99s,6,6,0,750114429.495,904073154.495
PSc310555,2011-09-17,23h34m07.866s,-0d23m28.99s,9,9,0,750114429.495,940454485.995
PSc310564,2011-09-24,23h24m00.518s,-0d12m54.76s,6,6,0,745864565.995,908036234.495
PSc310564,2011-09-24,23h24m00.518s,-0d12m54.76s,12,12,0,745864565.995,940626019.495
PSc310574,2011-09-20,23h31m56.623s,0d32m10.58s,126,126,0,750114573.495,909461422.495
PSc310574,2011-09-20,23h31m56.623s,0d32m10.58s,136,136,0,750114573.495,940483695.495
PSc320077,2011-09-25,23h26m18.219s,-0d31m12.25s,5,5,0,903658455.995,909526905.995
PSc320077,2011-09-25,23h26m18.219s,-0d31m12.25s,10,10,0,903658455.995,940667425.995
PSc320123,2011-10-02,23h25m34.73s,0d28m27.47s,83,83,0,745870488.495,908042147.995
PSc320123,2011-10-02,23h25m34.73s,0d28m27.47s,98,98,0,745870488.495,940543207.995
PSc320180,2011-09-30,2h23m34.624s,-5d16m11.01s,27,27,0,784492380.995,911319774.995
PSc320180,2011-09-30,2h23m34.624s,-5d16m11.01s,52,52,0,784492380.995,973616639.995
PSc320258,2011-10-16,2h18m59.519s,-4d52m50.66s,22,22,0,782639919.995,911313859.995
PSc320258,2011-10-16,2h18m59.519s,-4d52m50.66s,86,86,0,782639919.995,975917379.495
PSc320336,2011-10-03,3h33m17.319s,-27d30m48.44s,104,104,0,752428627.995,913798154.495
PSc320336,2011-10-03,3h33m17.319s,-27d30m48.44s,222,222,0,752428627.995,975834559.995
PSc320345,2011-10-16,3h35m42.171s,-27d22m37.67s,26,26,0,754843160.995,913123878.995
PSc320345,2011-10-16,3h35m42.171s,-27d22m37.67s,62,62,0,754843160.995,975852313.495
PSc320388,2011-10-16,3h31m46.69s,-26d26m43.1s,33,33,0,818267697.495,913117963.995
PSc320388,2011-10-16,3h31m46.69s,-26d26m43.1s,62,62,0,818267697.495,975846390.995
PSc320441,2011-07-28,23h28m05.121s,0d52m53.94s,6,6,0,745852813.495,812367993.495
PSc320441,2011-07-28,23h28m05.121s,0d52m53.94s,6,6,0,745852813.495,812368432.495
PSc320492,2011-09-30,2h21m31.62s,-3d05m20.71s,32,32,0,753463922.995,911284282.495
PSc320492,2011-09-30,2h21m31.62s,-3d05m20.71s,58,58,0,753463922.995,973581155.495
PSc330016,2011-10-19,2h20m20.865s,-3d46m30.62s,24,24,0,782598571.495,911296125.995
PSc330016,2011-10-19,2h20m20.865s,-3d46m30.62s,48,48,0,782598571.495,973592982.995
PSc330022,2011-10-24,2h21m17.78s,-2d56m56.85s,36,36,0,753463922.995,911284282.495
PSc330022,2011-10-24,2h21m17.78s,-2d56m56.85s,62,62,0,753463922.995,973581155.495
PSc330049,2011-11-13,2h18m25.656s,-4d26m54.21s,25,25,0,782302664.995,909479587.995
PSc330049,2011-11-13,2h18m25.656s,-4d26m54.21s,68,68,0,782302664.995,975917379.495
PSc330060,2011-11-05,3h35m03.643s,-27d03m57.42s,28,28,0,754843160.995,913123878.995
PSc330060,2011-11-05,3h35m03.643s,-27d03m57.42s,65,65,0,754843160.995,975852313.495
PSc330061,2011-11-13,8h37m49.096s,44d55m57.82s,7,7,0,758288471.495,890383007.495
PSc330061,2011-11-13,8h37m49.096s,44d55m57.82s,8,8,0,758288471.495,947512057.995
PSc330089,2011-11-13,2h24m45.665s,-4d49m19.7s,99,99,0,752588982.995,911319774.995
PSc330089,2011-11-13,2h24m45.665s,-4d49m19.7s,137,137,0,752588982.995,973616639.995
PSc330101,2011-11-14,2h26m59.028s,-4d20m03.74s,124,124,0,752588381.495,911307944.995
PSc330101,2011-11-14,2h26m59.028s,-4d20m03.74s,178,178,0,751332712.495,973604811.995
PSc330103,2011-11-13,8h48m06.032s,43d58m49.07s,7,7,0,855760981.495,890377090.995
PSc330103,2011-11-13,8h48m06.032s,43d58m49.07s,8,8,0,851731756.995,890377090.995
PSc330128,2011-11-13,2h27m17.477s,-3d49m16.73s,23,23,0,753659662.995,911290197.995
PSc330128,2011-11-13,2h27m17.477s,-3d49m16.73s,50,50,0,753659662.995,973587068.995
PSc330132,2011-11-13,8h47m59.304s,44d52m32.03s,9,9,0,855760841.495,890489522.995
PSc330132,2011-11-13,8h47m59.304s,44d52m32.03s,10,10,0,851731610.995,890489522.995
PSc330146,2011-11-14,2h26m52.243s,-3d07m13.98s,23,23,0,753659675.495,911290197.995
PSc330146,2011-11-14,2h26m52.243s,-3d07m13.98s,48,48,0,753659675.495,973587068.995
PSc340014,2011-11-24,2h24m36.838s,-5d19m42.69s,24,24,0,784498298.495,911319774.995
PSc340014,2011-11-24,2h24m36.838s,-5d19m42.69s,49,49,0,784498298.495,976486006.995
PSc340069,2011-11-23,8h40m59.845s,44d00m53.05s,8,8,0,855720272.995,890388923.495
PSc340069,2011-11-23,8h40m59.845s,44d00m53.05s,9,9,0,851442606.995,890388923.495
PSc340105,2010-09-12,2h23m52.675s,-3d38m04s,23,23,0,753659662.995,911290197.995
PSc340105,2010-09-12,2h23m52.675s,-3d38m04s,47,38,9,753659662.995,973587732.995
PSc340115,2011-11-23,8h38m09.779s,44d52m15.02s,8,8,0,758288471.495,890383007.495
PSc340115,2011-11-23,8h38m09.779s,44d52m15.02s,9,9,0,758288471.495,947512057.995
PSc340121,2011-11-13,2h25m47.048s,-3d10m46.09s,22,22,0,753659662.995,911290197.995
PSc340121,2011-11-13,2h25m47.048s,-3d10m46.09s,47,47,0,753659662.995,973587068.995
PSc340125,2011-11-30,3h32m08.694s,-26d39m00.75s,33,33,0,818267697.495,913117963.995
PSc340125,2011-11-30,3h32m08.694s,-26d39m00.75s,62,62,0,818267697.495,975846390.995
PSc340163,2011-11-24,8h38m15.565s,44d57m33.04s,7,7,0,758288471.495,890383007.495
PSc340163,2011-11-24,8h38m15.565s,44d57m33.04s,8,8,0,758288471.495,947512057.995
PSc340309,2011-12-16,3h32m44.143s,-27d39m41.22s,105,105,0,752428627.995,913798154.495
PSc340309,2011-12-16,3h32m44.143s,-27d39m41.22s,223,223,0,752428627.995,975834559.995
PSc340334,2011-12-15,10h53m03.134s,57d48m22.94s,11,11,0,821012963.995,824332454.495
PSc340334,2011-12-15,10h53m03.134s,57d48m22.94s,21,21,0,797682106.995,824332454.495
PSc350027,2012-01-02,10h52m28.619s,57d48m25.91s,11,11,0,821012963.995,824332454.495
PSc350027,2012-01-02,10h52m28.619s,57d48m25.91s,21,21,0,797682106.995,824332454.495
PSc350049,2012-01-02,10h47m20.4s,58d02m51.73s,11,11,0,759027784.995,821302837.495
PSc350049,2012-01-02,10h47m20.4s,58d02m51.73s,25,25,0,759027784.995,948109488.995
PSc350050,2011-12-15,10h44m19.122s,58d04m34.29s,21,21,0,759028080.495,824320586.495
PSc350050,2011-12-15,10h44m19.122s,58d04m34.29s,48,48,0,759028080.495,948073997.995
PSc350073,2012-01-02,10h43m26.846s,59d01m48.66s,24,24,0,759027917.495,856276825.495
PSc350073,2012-01-02,10h43m26.846s,59d01m48.66s,51,51,0,759027917.495,856276825.495
PSc350083,2012-01-03,8h40m33.122s,44d22m25.94s,7,7,0,758288471.495,890412591.495
PSc350083,2012-01-03,8h40m33.122s,44d22m25.94s,8,8,0,758288471.495,947512057.995
PSc350152,2012-01-05,9h59m01.052s,0d48m53.52s,19,19,0,823018805.495,890448091.995
PSc350152,2012-01-05,9h59m01.052s,0d48m53.52s,40,40,0,794753186.495,984689695.995
PSc350181,2012-01-13,8h44m20.712s,44d14m20.51s,13,13,0,758288618.995,890412591.495
PSc350181,2012-01-13,8h44m20.712s,44d14m20.51s,14,14,0,758288618.995,890412591.495
PSc350192,2012-01-15,9h54m51.792s,1d57m41.99s,14,14,0,884360671.995,890459925.495
PSc350192,2012-01-15,9h54m51.792s,1d57m41.99s,33,33,0,884360671.995,981886214.495
PSc350213,2012-01-24,10h04m06.984s,2d43m56.99s,21,21,0,825108330.995,890394840.495
PSc350213,2012-01-24,10h04m06.984s,2d43m56.99s,43,42,1,825108330.995,1011524123.995
PSc350219,2012-01-19,10h02m35.109s,2d37m30.71s,75,75,0,760453755.495,890454008.495
PSc350219,2012-01-19,10h02m35.109s,2d37m30.71s,123,123,0,760453755.495,981903943.995
PSc350233,2012-01-19,9h57m51.917s,3d28m56.48s,15,15,0,823012889.995,890424436.995
PSc350233,2012-01-19,9h57m51.917s,3d28m56.48s,36,36,0,823012889.995,981868472.995
PSc350235,2012-01-09,12h17m24.048s,48d20m46.47s,9,9,0,793752446.495,895145453.995
PSc350235,2012-01-09,12h17m24.048s,48d20m46.47s,10,10,0,793752446.495,895145453.995
PSc350319,2012-01-19,8h41m40.962s,43d51m50.37s,7,7,0,855720272.995,890388923.495
PSc350319,2012-01-19,8h41m40.962s,43d51m50.37s,8,8,0,851442606.995,890388923.495
PSc350335,2012-01-19,10h47m07.927s,57d25m39.22s,26,26,0,793404143.995,894559545.995
PSc350335,2012-01-19,10h47m07.927s,57d25m39.22s,39,39,0,789889025.495,894559545.995
PSc350356,2012-01-09,3h33m48.72s,-28d03m13.36s,112,112,0,752428627.995,913141623.995
PSc350356,2012-01-09,3h33m48.72s,-28d03m13.36s,256,256,0,752428627.995,975870052.995
PSc350390,2012-01-19,10h57m44.248s,57d44m52.07s,25,25,0,793439590.495,894547712.995
PSc350390,2012-01-19,10h57m44.248s,57d44m52.07s,44,44,0,789930563.995,894547712.995
PSc350393,2012-01-02,10h50m14.479s,57d56m24.81s,22,22,0,759027784.995,824332454.495
PSc350393,2012-01-02,10h50m14.479s,57d56m24.81s,46,46,0,759027784.995,948109488.995
PSc350436,2012-01-15,9h56m09.226s,2d08m20.95s,14,14,0,884360671.995,890459925.495
PSc350436,2012-01-15,9h56m09.226s,2d08m20.95s,33,33,0,884360671.995,981886214.495
PSc350480,2012-01-03,8h36m02.831s,44d36m11.82s,8,8,0,758288471.495,890383007.495
PSc350480,2012-01-03,8h36m02.831s,44d36m11.82s,10,10,0,758288471.495,947512057.995
PSc350548,2012-01-19,8h35m23.466s,44d54m49.1s,7,7,0,855719567.495,890383007.495
PSc350548,2012-01-19,8h35m23.466s,44d54m49.1s,8,8,0,851441892.495,890383007.495
PSc350567,2012-01-02,10h38m50.151s,58d43m57.48s,10,10,0,759028364.995,856276665.995
PSc350567,2012-01-02,10h38m50.151s,58d43m57.48s,22,22,0,759028364.995,979023068.495
PSc350583,2012-01-09,12h15m48.799s,47d40m51.09s,7,7,0,887543245.495,895145453.995
PSc350583,2012-01-09,12h15m48.799s,47d40m51.09s,8,8,0,798143084.495,895145453.995
PSc350613,2012-01-19,10h02m27.844s,3d00m55.2s,20,20,0,823012745.995,890454008.495
PSc350613,2012-01-19,10h02m27.844s,3d00m55.2s,40,40,0,823012745.995,981903943.995
PSc350637,2012-01-19,10h51m04.923s,59d13m58.34s,34,34,0,758879599.995,824651930.495
PSc350637,2012-01-19,10h51m04.923s,59d13m58.34s,62,62,0,758879599.995,983636978.995
PSc350668,2012-01-20,10h02m22.382s,3d26m05.59s,15,15,0,825108205.995,890454008.495
PSc350668,2012-01-20,10h02m22.382s,3d26m05.59s,35,35,0,825108205.995,981903943.995
PSc350714,2012-01-19,12h21m07.726s,46d00m22.9s,9,9,0,764258536.495,895151372.995
PSc350714,2012-01-19,12h21m07.726s,46d00m22.9s,10,10,0,764258536.495,895151372.995
PSc350771,2012-01-19,10h43m14.691s,58d23m05.41s,11,11,0,759028080.495,824320586.495
PSc350771,2012-01-19,10h43m14.691s,58d23m05.41s,25,25,0,759028080.495,948073997.995
PSc350869,2012-01-19,8h42m16.676s,44d41m23.74s,8,8,0,758288618.995,890412591.495
PSc350869,2012-01-19,8h42m16.676s,44d41m23.74s,9,9,0,758288618.995,890412591.495
PSc360014,2012-01-26,12h21m53.454s,46d12m41.1s,9,9,0,764258461.995,895151372.995
PSc360014,2012-01-26,12h21m53.454s,46d12m41.1s,10,10,0,764258461.995,895151372.995
PSc360027,2012-01-24,10h40m58.633s,57d05m54.18s,8,8,0,793859732.495,887347671.495
PSc360027,2012-01-24,10h40m58.633s,57d05m54.18s,21,21,0,759033467.495,887347671.495
PSc360052,2012-01-22,9h55m43.211s,2d09m34.94s,14,14,0,884360671.995,890459925.495
PSc360052,2012-01-22,9h55m43.211s,2d09m34.94s,33,33,0,884360671.995,981886214.495
PSc360060,2009-04-20,12h24m21.874s,47d12m33.79s,11,11,0,793913645.995,895139534.495
PSc360060,2009-04-20,12h24m21.874s,47d12m33.79s,12,12,0,793913645.995,895139534.495
PSc360106,2012-02-03,12h17m08.865s,45d45m07.92s,4,4,0,793681859.495,924760231.495
PSc360106,2012-02-03,12h17m08.865s,45d45m07.92s,6,6,0,793681859.495,924760231.495
PSc360123,2012-02-10,8h46m41.831s,44d18m57.84s,12,12,0,758288618.995,890489522.995
PSc360123,2012-02-10,8h46m41.831s,44d18m57.84s,14,14,0,758288618.995,890489522.995
PSc360125,2012-02-10,8h36m38.099s,44d09m17.59s,8,8,0,855719709.995,890383007.495
PSc360125,2012-02-10,8h36m38.099s,44d09m17.59s,10,10,0,851442034.495,947494313.995
PSc360136,2012-01-30,10h46m00.204s,58d13m25.54s,21,21,0,759027931.495,824320586.495
PSc360136,2012-01-30,10h46m00.204s,58d13m25.54s,48,48,0,759027931.495,948109488.995
PSc360140,2012-02-03,12h22m28.331s,47d42m58.22s,14,14,0,793913645.995,895169130.495
PSc360140,2012-02-03,12h22m28.331s,47d42m58.22s,15,15,0,793913645.995,895169130.495
PSc360145,2012-02-10,10h54m40.471s,59d01m08.36s,13,13,0,759027490.995,918164178.495
PSc360145,2012-02-10,10h54m40.471s,59d01m08.36s,14,14,0,759027490.995,918164178.495
PSc360147,2012-01-29,8h43m37.175s,45d47m34.37s,9,9,0,758288312.495,890359340.995
PSc360147,2012-01-29,8h43m37.175s,45d47m34.37s,9,9,0,758288312.495,890359340.995
PSc360148,2012-01-29,8h40m10.575s,45d48m56.15s,7,7,0,855719428.495,890365257.495
PSc360148,2012-01-29,8h40m10.575s,45d48m56.15s,9,9,0,789457218.995,890365257.495
PSc360154,2012-02-03,9h55m18.524s,1d31m52.39s,6,6,0,823013318.995,885567462.495
PSc360154,2012-02-03,9h55m18.524s,1d31m52.39s,7,7,0,794753038.995,885567462.495
PSc360162,2012-02-13,9h56m48.051s,1d00m11.96s,22,22,0,823013318.995,890448091.995
PSc360162,2012-02-13,9h56m48.051s,1d00m11.96s,43,43,0,794753038.995,981898030.495
PSc360193,2012-02-13,9h57m01.9s,2d39m55.53s,30,30,0,823013032.995,918447617.495
PSc360193,2012-02-13,9h57m01.9s,2d39m55.53s,73,73,0,823013032.995,1011477330.995
PSc360276,2012-02-13,10h39m48.38s,58d22m26.93s,11,11,0,759028080.495,824320586.495
PSc360276,2012-02-13,10h39m48.38s,58d22m26.93s,25,25,0,759028080.495,948073997.995
PSc360283,2012-02-13,12h27m23.831s,47d44m29.2s,3,3,0,793912797.995,856891264.495
PSc360283,2012-02-13,12h27m23.831s,47d44m29.2s,6,6,0,793912797.995,856891264.495
PSc360285,2012-02-11,8h44m18.429s,44d44m33.24s,7,7,0,758288618.995,890412591.495
PSc360285,2012-02-11,8h44m18.429s,44d44m33.24s,8,8,0,758288618.995,890412591.495
PSc360346,2011-05-12,14h10m11.725s,52d21m54.82s,20,20,0,925505565.995,984175199.995
PSc360414,2012-02-10,14h13m56.814s,54d19m36.85s,4,4,0,925475983.495,926340020.995
PSc360414,2012-02-10,14h13m56.814s,54d19m36.85s,18,18,0,925475983.495,984145662.995
PSc360440,2012-01-26,9h57m14.72s,1d00m23.85s,22,22,0,823013318.995,890448091.995
PSc360440,2012-01-26,9h57m14.72s,1d00m23.85s,43,43,0,794753038.995,981898030.495
PSc360465,2012-02-03,9h59m07.049s,1d42m56.45s,75,75,0,760459675.495,890448091.995
PSc360465,2012-02-03,9h59m07.049s,1d42m56.45s,129,129,0,760459675.495,983690034.495
PSc360526,2012-02-20,9h55m53.308s,2d08m17.21s,14,14,0,884360671.995,890459925.495
PSc360526,2012-02-20,9h55m53.308s,2d08m17.21s,33,33,0,884360671.995,981886214.495
PSc360627,2012-02-22,10h50m33.772s,56d47m05.69s,42,42,0,763578739.995,894559545.995
PSc360627,2012-02-22,10h50m33.772s,56d47m05.69s,81,81,0,759625210.995,894559545.995
PSc360647,2012-02-20,14h14m41.356s,52d24m09.37s,19,19,0,925499660.495,984169271.995
PSc360701,2012-02-22,10h45m08.247s,57d46m40.78s,10,10,0,793404143.995,821302837.495
PSc360701,2012-02-22,10h45m08.247s,57d46m40.78s,23,23,0,789889025.495,821302837.495
PSc370034,2012-02-26,8h42m01.566s,44d18m40.75s,8,8,0,758288618.995,890412591.495
PSc370034,2012-02-26,8h42m01.566s,44d18m40.75s,9,9,0,758288618.995,890412591.495
PSc370075,2012-02-21,8h42m40.023s,43d31m25.3s,8,8,0,855720561.995,890388923.495
PSc370075,2012-02-21,8h42m40.023s,43d31m25.3s,9,9,0,851442750.995,890388923.495
PSc370081,2012-02-26,8h39m57.829s,43d45m59.44s,7,7,0,855720272.995,890388923.495
PSc370081,2012-02-26,8h39m57.829s,43d45m59.44s,8,8,0,851442606.995,890388923.495
PSc370096,2012-02-22,10h01m26.117s,2d32m05.72s,150,150,0,760447835.995,890454008.495
PSc370096,2012-02-22,10h01m26.117s,2d32m05.72s,207,207,0,760447835.995,981904655.995
PSc370119,2012-02-24,12h18m11.63s,46d27m29.17s,19,19,0,764258461.995,895151372.995
PSc370119,2012-02-24,12h18m11.63s,46d27m29.17s,20,20,0,764258461.995,895151372.995
PSc370143,2012-02-24,12h19m35.316s,46d51m13.63s,17,17,0,764258461.995,924843033.495
PSc370143,2012-02-24,12h19m35.316s,46d51m13.63s,19,19,0,764258461.995,924843033.495
PSc370161,2012-02-27,10h52m54.749s,58d52m02.08s,35,35,0,758879599.995,918164178.495
PSc370161,2012-02-27,10h52m54.749s,58d52m02.08s,63,63,0,758879599.995,983636978.995
PSc370285,2012-02-27,12h13m33.068s,47d51m00.41s,10,10,0,793752446.495,895163211.995
PSc370285,2012-02-27,12h13m33.068s,47d51m00.41s,11,11,0,793752446.495,895163211.995
PSc370328,2012-03-11,9h59m39.104s,1d37m45.04s,102,102,0,760459675.495,890448091.995
PSc370328,2012-03-11,9h59m39.104s,1d37m45.04s,144,144,0,760459675.495,983690034.495
PSc370335,2012-02-27,10h49m14.323s,57d32m53.6s,37,37,0,793404143.995,894559545.995
PSc370335,2012-02-27,10h49m14.323s,57d32m53.6s,60,60,0,789889025.495,894559545.995
PSc370376,2012-03-14,10h46m26.377s,58d04m11.9s,11,11,0,759027784.995,821302837.495
PSc370376,2012-03-14,10h46m26.377s,58d04m11.9s,25,25,0,759027784.995,948109488.995
PSc370435,2012-02-28,14h14m33.895s,53d42m52.34s,4,4,0,925481897.995,926345935.995
PSc370435,2012-02-28,14h14m33.895s,53d42m52.34s,18,18,0,925481897.995,984151532.995
PSc370473,2012-03-14,10h52m21.32s,57d16m23.34s,42,42,0,763578739.995,894559545.995
PSc370473,2012-03-14,10h52m21.32s,57d16m23.34s,81,81,0,759625210.995,894559545.995
PSc370504,2012-02-27,12h20m27.408s,47d27m14.16s,11,11,0,793913645.995,924843033.495
PSc370504,2012-02-27,12h20m27.408s,47d27m14.16s,14,14,0,793913645.995,924843033.495
PSc370528,2012-03-20,10h52m41.727s,57d19m46.24s,48,48,0,763578739.995,894559545.995
PSc370528,2012-03-20,10h52m41.727s,57d19m46.24s,96,96,0,759625210.995,894559545.995
PSc370542,2012-03-14,12h24m08.771s,46d51m35.27s,12,12,0,793913645.995,895139534.495
PSc370542,2012-03-14,12h24m08.771s,46d51m35.27s,13,13,0,793913645.995,895139534.495
PSc370563,2012-03-20,10h03m48.443s,2d38m45.64s,22,22,0,760803072.495,890394840.495
PSc370563,2012-03-20,10h03m48.443s,2d38m45.64s,44,44,0,760803072.495,1011524123.995
PSc370566,2012-03-20,10h39m56.422s,58d24m53.69s,11,11,0,759028080.495,824320586.495
PSc370566,2012-03-20,10h39m56.422s,58d24m53.69s,25,25,0,759028080.495,948073997.995
PSc370575,2012-03-20,10h49m26.502s,58d29m19.3s,23,23,0,758879599.995,767567456.995
PSc370575,2012-03-20,10h49m26.502s,58d29m19.3s,51,51,0,758879599.995,983636978.995
PSc370589,2011-02-03,9h56m25.97s,3d27m17.1s,17,17,0,822994714.495,890424436.995
PSc370589,2011-02-03,9h56m25.97s,3d27m17.1s,41,31,10,822994714.495,1011435367.995
PSc370593,2012-03-28,10h45m03.743s,56d39m01.92s,11,11,0,821048458.495,887383539.495
PSc370593,2012-03-28,10h45m03.743s,56d39m01.92s,11,11,0,821048458.495,887383539.495
PSc370595,2012-03-24,10h01m59.435s,1d19m30.53s,25,25,0,823018949.495,890436258.495
PSc370595,2012-03-24,10h01m59.435s,1d19m30.53s,50,50,0,794753484.995,981892116.995
PSc370610,2012-03-27,14h07m04.721s,53d34m21.56s,7,7,0,740069387.995,926351852.995
PSc370610,2012-03-27,14h07m04.721s,53d34m21.56s,21,21,0,740069387.995,984157444.995
PSc380006,2012-04-10,10h48m12.61s,56d47m28.23s,24,24,0,821048458.495,894559545.995
PSc380006,2012-04-10,10h48m12.61s,56d47m28.23s,24,24,0,821048458.495,894559545.995
PSc380024,2012-04-12,14h11m40.194s,52d20m44.65s,20,20,0,925505565.995,984175199.995
PSc380073,2012-04-12,10h37m45.55s,58d44m43.09s,14,14,0,759028364.995,890596021.995
PSc380073,2012-04-12,10h37m45.55s,58d44m43.09s,28,28,0,759028364.995,979023068.495
PSc380075,2012-04-02,12h19m10.001s,47d52m42.39s,15,15,0,856531186.995,895169130.495
PSc380075,2012-04-02,12h19m10.001s,47d52m42.39s,16,16,0,795203076.495,895169130.495
PSc380077,2012-03-29,14h11m00.87s,53d42m27.44s,4,4,0,925487814.995,926351852.995
PSc380077,2012-03-29,14h11m00.87s,53d42m27.44s,18,18,0,925487814.995,984157444.995
PSc380079,2012-04-09,14h13m20.298s,54d02m15.12s,4,4,0,925475983.495,926340020.995
PSc380079,2012-04-09,14h13m20.298s,54d02m15.12s,19,19,0,925475983.495,984145662.995
PSc380092,2012-03-29,14h10m48.299s,53d34m21.23s,4,4,0,925487814.995,926351852.995
PSc380092,2012-03-29,14h10m48.299s,53d34m21.23s,18,18,0,925487814.995,984157444.995
PSc380095,2010-02-25,14h08m51.157s,53d35m38.3s,4,4,0,925487814.995,926351852.995
PSc380095,2010-02-25,14h08m51.157s,53d35m38.3s,18,7,11,925487814.995,984157444.995
PSc380147,2012-03-21,10h03m59.534s,1d32m59.89s,15,15,0,764170500.495,890436430.495
PSc380147,2012-03-21,10h03m59.534s,1d32m59.89s,34,34,0,764170500.495,984731032.495
PSc380204,2009-06-02,14h15m14.266s,53d05m16.23s,23,6,17,925481897.995,984151532.995
PSc380218,2012-04-12,10h04m25.997s,2d25m13.3s,23,23,0,823012591.495,890394840.495
PSc380218,2012-04-12,10h04m25.997s,2d25m13.3s,48,48,0,794753754.495,1011524123.995
PSc380282,2012-04-10,10h50m28.782s,58d38m47.02s,23,23,0,758879599.995,767567456.995
PSc380282,2012-04-10,10h50m28.782s,58d38m47.02s,51,51,0,758879599.995,983636978.995
PSc380287,2012-04-13,10h39m39.748s,58d34m37.38s,11,11,0,759028080.495,824320586.495
PSc380287,2012-04-13,10h39m39.748s,58d34m37.38s,25,25,0,759028080.495,948073997.995
PSc380318,2012-03-28,10h01m39.165s,3d14m59.43s,25,25,0,823012745.995,890454008.495
PSc380318,2012-03-28,10h01m39.165s,3d14m59.43s,45,45,0,823012745.995,981903943.995
PSc380358,2012-04-12,12h24m18.035s,48d19m01.69s,10,10,0,793912797.995,895169130.495
PSc380358,2012-04-12,12h24m18.035s,48d19m01.69s,11,11,0,793912797.995,895169130.495
PSc380378,2012-04-20,14h14m05.876s,53d27m53.31s,4,4,0,925481897.995,926345935.995
PSc380378,2012-04-20,14h14m05.876s,53d27m53.31s,18,18,0,925481897.995,984151532.995
PSc380381,2012-04-21,10h55m16.215s,57d10m26.4s,26,26,0,763578739.995,767526012.495
PSc380381,2012-04-21,10h55m16.215s,57d10m26.4s,65,65,0,759625210.995,767526012.495
PSc380392,2012-04-15,12h25m46.363s,46d15m50.55s,3,3,0,793913772.495,857127299.995
PSc380392,2012-04-15,12h25m46.363s,46d15m50.55s,4,4,0,793913772.495,857127299.995
PSc380421,2010-05-14,14h07m27.685s,54d00m38.93s,5,5,0,740069387.995,926351852.995
PSc380421,2010-05-14,14h07m27.685s,54d00m38.93s,19,17,2,740069387.995,984157444.995
PSc380424,2012-04-21,14h13m52.923s,54d02m43.52s,4,4,0,925475983.495,926340020.995
PSc380424,2012-04-21,14h13m52.923s,54d02m43.52s,18,18,0,925475983.495,984145662.995
PSc380433,2012-04-15,12h18m27.731s,45d59m59.79s,6,6,0,764258461.995,924760231.495
PSc380433,2012-04-15,12h18m27.731s,45d59m59.79s,9,9,0,764258461.995,924760231.495
PSc380438,2012-04-19,12h19m21.658s,46d22m25.85s,9,9,0,764258461.995,895151372.995
PSc380438,2012-04-19,12h19m21.658s,46d22m25.85s,10,10,0,764258461.995,895151372.995
PSc380479,2012-04-23,12h17m45.698s,48d14m31.48s,9,9,0,793752446.495,895145453.995
PSc380479,2012-04-23,12h17m45.698s,48d14m31.48s,10,10,0,793752446.495,895145453.995
PSc390040,2012-04-12,12h18m19.308s,46d10m23.28s,12,12,0,764258461.995,895133614.995
PSc390040,2012-04-12,12h18m19.308s,46d10m23.28s,13,13,0,764258461.995,895133614.995
PSc390124,2012-04-26,12h25m52.44s,47d28m29.84s,11,11,0,793913645.995,895139534.495
PSc390124,2012-04-26,12h25m52.44s,47d28m29.84s,12,12,0,793913645.995,895139534.495
PSc390185,2012-04-21,14h13m24.951s,54d01m45.92s,4,4,0,925475983.495,926340020.995
PSc390185,2012-04-21,14h13m24.951s,54d01m45.92s,19,19,0,925475983.495,984145662.995
PSc390229,2012-05-01,10h39m05.305s,57d53m32.87s,23,23,0,759028080.495,889992584.995
PSc390229,2012-05-01,10h39m05.305s,57d53m32.87s,50,50,0,759028080.495,948073997.995
PSc390259,2012-04-29,16h09m34.951s,53d52m02s,15,15,0,772225077.495,926623999.995
PSc390259,2012-04-29,16h09m34.951s,53d52m02s,46,46,0,768413530.495,991758033.995
PSc390271,2012-05-09,16h09m47.366s,53d59m34.89s,15,15,0,772225077.495,926623999.995
PSc390271,2012-05-09,16h09m47.366s,53d59m34.89s,44,44,0,768413530.495,991758033.995
PSc390442,2012-05-09,16h13m28.262s,54d21m46.16s,52,52,0,768413246.495,991752115.495
PSc390471,2012-05-09,14h18m04.759s,53d00m50.31s,250,250,0,740063469.995,991077769.495
PSc390476,2012-05-09,14h10m17.34s,52d39m17.37s,20,20,0,925505565.995,984175199.995
PSc390479,2012-04-29,14h06m54.263s,52d45m59.17s,19,19,0,925505565.995,984175199.995
PSc390505,2012-04-29,16h18m29.728s,54d44m57.1s,13,13,0,773816220.495,926600337.495
PSc390505,2012-04-29,16h18m29.728s,54d44m57.1s,44,44,0,768413104.495,991734359.995
PSc390574,2012-05-15,14h11m00.588s,53d36m49.73s,4,4,0,925487814.995,926351852.995
PSc390574,2012-05-15,14h11m00.588s,53d36m49.73s,18,18,0,925487814.995,984157444.995
PSc390578,2012-05-10,14h07m02.314s,53d30m54.1s,7,7,0,740069387.995,926351852.995
PSc390578,2012-05-10,14h07m02.314s,53d30m54.1s,21,21,0,740069387.995,984157444.995
